Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
D1,14/08/2004,Hansa Rostock,Werder Bremen,A,2.8,3.25,2.2,3.4,3.25,2.0,2.9,3.0,2.2,2.9,3.2,2.15,2004/5,€25.90m,€98.48m,35.7143,29.4118,34.4828,34.4828,30.7692,30.7692,31.25,33.3333,45.4545,50.0,46.5116,45.4545,A,33.5229,2.8016,31.5304,1.2231,46.8551,2.155,Bundesliga1
D1,14/08/2004,Mainz,Hamburg,H,2.6,3.2,2.4,2.5,3.3,2.5,2.5,3.0,2.5,2.5,3.25,2.4,2004/5,€16.73m,€65.60m,38.4615,40.0,40.0,40.0,31.25,30.303,30.7692,33.3333,41.6667,40.0,41.6667,40.0,A,39.6154,0.7692,31.4139,1.3367,40.8333,0.9623,Bundesliga1
D1,14/08/2004,M'gladbach,Dortmund,A,2.5,3.2,2.5,2.5,3.3,2.5,2.3,3.0,2.7,2.4,3.1,2.6,2004/5,€50.93m,€78.33m,40.0,40.0,41.6667,43.4783,31.25,30.303,32.2581,33.3333,40.0,40.0,38.4615,37.037,H,41.2862,1.6592,31.7861,1.3043,38.8746,1.4237,Bundesliga1
D1,14/08/2004,Nurnberg,Stuttgart,D,2.8,3.25,2.2,3.2,3.3,2.05,2.9,3.0,2.2,2.62,3.2,2.3,2004/5,€34.90m,€79.50m,35.7143,31.25,38.1679,34.4828,30.7692,30.303,31.25,33.3333,45.4545,48.7805,43.4783,45.4545,A,34.9038,2.8774,31.4139,1.3367,45.792,2.1994,Bundesliga1
D1,14/08/2004,Schalke 04,Kaiserslautern,H,1.53,3.5,5.5,1.5,3.7,6.0,1.5,3.7,5.0,1.5,3.4,6.0,2004/5,€86.33m,€33.75m,65.3595,66.6667,66.6667,66.6667,28.5714,27.027,29.4118,27.027,18.1818,16.6667,16.6667,20.0,H,66.3399,0.6536,28.0093,1.185,17.8788,1.5843,Bundesliga1
D1,15/08/2004,Bochum,Leverkusen,D,2.37,3.2,2.62,2.5,3.3,2.5,2.2,3.0,2.9,2.3,3.1,2.75,2004/5,€31.40m,€86.93m,42.1941,40.0,43.4783,45.4545,31.25,30.303,32.2581,33.3333,38.1679,40.0,36.3636,34.4828,H,42.7817,2.2885,31.7861,1.3043,37.2536,2.3698,Bundesliga1
D1,15/08/2004,Wolfsburg,Freiburg,A,1.61,3.4,5.0,1.65,3.6,4.7,1.65,3.3,4.4,1.61,3.3,5.0,2004/5,€59.30m,€22.43m,62.1118,60.6061,62.1118,60.6061,29.4118,27.7778,30.303,30.303,20.0,21.2766,20.0,22.7273,H,61.359,0.8693,29.4489,1.1906,21.001,1.2987,Bundesliga1
D1,28/08/2004,Bielefeld,Bochum,A,2.3,3.2,2.7,2.4,3.3,2.6,2.4,3.0,2.6,2.4,3.1,2.6,2004/5,€24.65m,€31.40m,43.4783,41.6667,41.6667,41.6667,31.25,30.303,32.2581,33.3333,37.037,38.4615,38.4615,38.4615,H,42.1196,0.9058,31.7861,1.3043,38.1054,0.7123,Bundesliga1
D1,28/08/2004,Freiburg,M'gladbach,D,1.9,3.25,3.5,1.95,3.3,3.5,2.1,3.0,3.1,2.0,3.2,3.2,2004/5,€22.43m,€50.93m,52.6316,51.2821,50.0,47.619,30.7692,30.303,31.25,33.3333,28.5714,28.5714,31.25,32.2581,H,50.3832,2.1331,31.4139,1.3367,30.1627,1.883,Bundesliga1
D1,28/08/2004,Hamburg,Nurnberg,H,1.8,3.25,4.0,1.75,3.4,4.2,1.75,3.2,4.0,1.9,3.2,3.5,2004/5,€65.60m,€34.90m,55.5556,57.1429,52.6316,57.1429,30.7692,29.4118,31.25,31.25,25.0,23.8095,28.5714,25.0,H,55.6182,2.1271,30.6702,0.869,25.5952,2.062,Bundesliga1
D1,28/08/2004,Hertha,Mainz,D,1.53,3.4,6.0,1.5,3.8,5.8,1.5,3.7,5.0,1.5,3.4,6.0,2004/5,€71.78m,€16.73m,65.3595,66.6667,66.6667,66.6667,29.4118,26.3158,29.4118,27.027,16.6667,17.2414,16.6667,20.0,H,66.3399,0.6536,28.0416,1.6086,17.6437,1.5941,Bundesliga1
D1,28/08/2004,Kaiserslautern,Stuttgart,A,2.75,3.25,2.25,2.75,3.3,2.3,2.5,3.0,2.5,2.62,3.2,2.3,2004/5,€33.75m,€79.50m,36.3636,36.3636,38.1679,40.0,30.7692,30.303,31.25,33.3333,44.4444,43.4783,43.4783,40.0,A,37.7238,1.7396,31.4139,1.3367,42.8502,1.954,Bundesliga1
D1,28/08/2004,Leverkusen,Bayern Munich,H,2.9,3.2,2.37,3.2,3.3,2.05,2.6,3.0,2.4,2.62,3.1,2.37,2004/5,€86.93m,€175.30m,34.4828,31.25,38.1679,38.4615,31.25,30.303,32.2581,33.3333,42.1941,48.7805,42.1941,41.6667,A,35.5906,3.4133,31.7861,1.3043,43.7088,3.3902,Bundesliga1
D1,28/08/2004,Schalke 04,Hansa Rostock,A,1.5,3.5,6.0,1.4,4.2,6.6,1.55,3.5,4.8,1.44,3.6,6.5,2004/5,€86.33m,€25.90m,66.6667,71.4286,69.4444,64.5161,28.5714,23.8095,27.7778,28.5714,16.6667,15.1515,15.3846,20.8333,H,68.0139,3.0417,27.1825,2.2796,17.009,2.6351,Bundesliga1
D1,29/08/2004,Dortmund,Hannover,D,1.5,3.5,6.0,1.4,4.2,6.6,1.45,3.8,5.4,1.5,3.4,6.0,2004/5,€78.33m,€42.98m,66.6667,71.4286,66.6667,68.9655,28.5714,23.8095,29.4118,26.3158,16.6667,15.1515,16.6667,18.5185,H,68.4319,2.2728,27.0271,2.512,16.7508,1.378,Bundesliga1
D1,29/08/2004,Werder Bremen,Wolfsburg,A,1.44,3.75,6.5,1.45,4.1,6.0,1.6,3.4,4.6,1.44,3.6,6.5,2004/5,€98.48m,€59.30m,69.4444,68.9655,69.4444,62.5,26.6667,24.3902,27.7778,29.4118,15.3846,16.6667,15.3846,21.7391,H,67.5886,3.3999,27.0616,2.1078,17.2938,3.0246,Bundesliga1
D1,11/09/2004,Bayern Munich,Bielefeld,H,1.2,5.0,12.0,1.2,5.6,11.0,1.2,5.0,10.0,1.25,4.8,8.5,2004/5,€175.30m,€24.65m,83.3333,83.3333,80.0,83.3333,20.0,17.8571,20.8333,20.0,8.3333,9.0909,11.7647,10.0,H,82.5,1.6666,19.6726,1.2725,9.7972,1.4781,Bundesliga1
D1,11/09/2004,Bochum,Dortmund,D,2.375,3.2,2.625,2.5,3.3,2.5,2.4,3.0,2.6,2.37,3.0,2.7,2004/5,€31.40m,€78.33m,42.1053,40.0,42.1941,41.6667,31.25,30.303,33.3333,33.3333,38.0952,40.0,37.037,38.4615,H,41.4915,1.0207,32.0549,1.526,38.3984,1.2267,Bundesliga1
D1,11/09/2004,Mainz,Leverkusen,H,3.5,3.25,1.909,3.95,3.4,1.8,3.2,3.1,2.0,3.3,3.2,1.95,2004/5,€16.73m,€86.93m,28.5714,25.3165,30.303,31.25,30.7692,29.4118,31.25,32.2581,52.3834,55.5556,51.2821,50.0,A,28.8602,2.6099,30.9223,1.1828,52.3053,2.3757,Bundesliga1
D1,11/09/2004,M'gladbach,Werder Bremen,H,2.875,3.2,2.2,3.2,3.3,2.05,2.7,3.0,2.3,2.8,3.2,2.2,2004/5,€50.93m,€98.48m,34.7826,31.25,35.7143,37.037,31.25,30.303,31.25,33.3333,45.4545,48.7805,45.4545,43.4783,A,34.696,2.4765,31.5341,1.2799,45.792,2.1994,Bundesliga1
D1,11/09/2004,Nurnberg,Hertha,D,2.25,3.2,2.8,2.4,3.3,2.6,2.4,3.0,2.6,2.37,3.1,2.62,2004/5,€34.90m,€71.78m,44.4444,41.6667,42.1941,41.6667,31.25,30.303,32.2581,33.3333,35.7143,38.4615,38.1679,38.4615,H,42.493,1.3245,31.7861,1.3043,37.7013,1.3319,Bundesliga1
D1,11/09/2004,Stuttgart,Hamburg,H,1.571,3.6,5.0,1.5,3.9,5.6,1.6,3.4,4.6,1.57,3.5,5.0,2004/5,€79.50m,€65.60m,63.6537,66.6667,63.6943,62.5,27.7778,25.641,28.5714,29.4118,20.0,17.8571,20.0,21.7391,H,64.1287,1.7803,27.8505,1.617,19.8991,1.5891,Bundesliga1
D1,11/09/2004,Wolfsburg,Schalke 04,H,2.3,3.2,2.7,2.4,3.3,2.6,2.2,3.0,2.9,2.2,3.2,2.8,2004/5,€59.30m,€86.33m,43.4783,41.6667,45.4545,45.4545,31.25,30.303,31.25,33.3333,37.037,38.4615,35.7143,34.4828,H,44.0135,1.8209,31.5341,1.2799,36.4239,1.7126,Bundesliga1
D1,12/09/2004,Hannover,Freiburg,D,1.833,3.25,3.75,1.8,3.4,3.95,1.85,3.1,3.6,1.95,3.3,3.25,2004/5,€42.98m,€22.43m,54.5554,55.5556,51.2821,54.0541,30.7692,29.4118,30.303,32.2581,26.6667,25.3165,30.7692,27.7778,H,53.8618,1.8296,30.6855,1.1901,27.6326,2.3207,Bundesliga1
D1,12/09/2004,Hansa Rostock,Kaiserslautern,A,1.909,3.25,3.5,1.9,3.3,3.7,1.85,3.1,3.6,1.83,3.3,3.6,2004/5,€25.90m,€33.75m,52.3834,52.6316,54.6448,54.0541,30.7692,30.303,30.303,32.2581,28.5714,27.027,27.7778,27.7778,H,53.4285,1.0951,30.9083,0.9263,27.7885,0.6306,Bundesliga1
D1,18/09/2004,Bielefeld,Mainz,D,2.25,3.25,2.75,2.0,3.35,3.3,2.0,3.1,3.2,2.0,3.2,3.2,2004/5,€24.65m,€16.73m,44.4444,50.0,50.0,50.0,30.7692,29.8507,31.25,32.2581,36.3636,30.303,31.25,31.25,H,48.6111,2.7778,31.032,1.0026,32.2917,2.7511,Bundesliga1
D1,18/09/2004,Dortmund,Bayern Munich,D,2.75,3.0,2.37,2.9,3.3,2.2,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€78.33m,€175.30m,36.3636,34.4828,40.0,40.0,33.3333,30.303,32.2581,33.3333,42.1941,45.4545,40.0,40.0,A,37.7116,2.7517,32.3069,1.4289,41.9121,2.5781,Bundesliga1
D1,18/09/2004,Hansa Rostock,Wolfsburg,A,2.3,3.2,2.7,2.2,3.3,2.9,2.3,3.0,2.7,2.5,3.1,2.5,2004/5,€25.90m,€59.30m,43.4783,45.4545,40.0,43.4783,31.25,30.303,32.2581,33.3333,37.037,34.4828,40.0,37.037,H,43.1028,2.2686,31.7861,1.3043,37.1392,2.2555,Bundesliga1
D1,18/09/2004,Kaiserslautern,Hamburg,H,2.2,3.25,2.8,2.05,3.3,3.2,1.85,3.1,3.6,2.0,3.2,3.2,2004/5,€33.75m,€65.60m,45.4545,48.7805,50.0,54.0541,30.7692,30.303,31.25,32.2581,35.7143,31.25,31.25,27.7778,H,49.5723,3.5521,31.1451,0.8367,31.498,3.2527,Bundesliga1
D1,18/09/2004,Leverkusen,Nurnberg,D,1.4,3.75,7.5,1.45,3.9,6.3,1.45,3.8,5.4,1.44,3.6,6.5,2004/5,€86.93m,€34.90m,71.4286,68.9655,69.4444,68.9655,26.6667,25.641,27.7778,26.3158,13.3333,15.873,15.3846,18.5185,H,69.701,1.1737,26.6003,0.893,15.7773,2.1331,Bundesliga1
D1,18/09/2004,Schalke 04,M'gladbach,H,1.66,3.4,4.5,1.55,3.7,5.3,1.65,3.3,4.4,1.61,3.3,5.0,2004/5,€86.33m,€50.93m,60.241,64.5161,62.1118,60.6061,29.4118,27.027,30.303,30.303,22.2222,18.8679,20.0,22.7273,H,61.8688,1.9418,29.2612,1.5476,20.9543,1.8271,Bundesliga1
D1,18/09/2004,Werder Bremen,Hannover,H,1.5,3.5,6.0,1.4,4.2,6.6,1.65,3.3,4.4,1.5,3.4,6.0,2004/5,€98.48m,€42.98m,66.6667,71.4286,66.6667,60.6061,28.5714,23.8095,29.4118,30.303,16.6667,15.1515,16.6667,22.7273,H,66.342,4.4341,28.0239,2.8972,17.803,3.3596,Bundesliga1
D1,19/09/2004,Freiburg,Bochum,D,2.3,3.2,2.7,2.3,3.3,2.75,2.2,3.0,2.9,2.3,3.2,2.62,2004/5,€22.43m,€31.40m,43.4783,43.4783,43.4783,45.4545,31.25,30.303,31.25,33.3333,37.037,36.3636,38.1679,34.4828,H,43.9724,0.9881,31.5341,1.2799,36.5128,1.5446,Bundesliga1
D1,19/09/2004,Hertha,Stuttgart,D,2.6,3.2,2.4,2.45,3.15,2.65,2.4,2.9,2.7,2.4,3.1,2.6,2004/5,€71.78m,€79.50m,38.4615,40.8163,41.6667,41.6667,31.25,31.746,32.2581,34.4828,41.6667,37.7358,38.4615,37.037,A,40.6528,1.5149,32.4342,1.4264,38.7252,2.0454,Bundesliga1
D1,25/09/2004,Bayern Munich,Freiburg,H,1.28,4.5,8.5,1.25,5.0,9.8,1.3,4.2,8.0,1.3,4.33,8.0,2004/5,€175.30m,€22.43m,78.125,80.0,76.9231,76.9231,22.2222,20.0,23.0947,23.8095,11.7647,10.2041,12.5,12.5,H,77.9928,1.4531,22.2816,1.6538,11.7422,1.0824,Bundesliga1
D1,25/09/2004,Bochum,Werder Bremen,A,2.62,3.2,2.37,2.6,3.3,2.4,2.6,3.0,2.4,2.5,3.1,2.5,2004/5,€31.40m,€98.48m,38.1679,38.4615,40.0,38.4615,31.25,30.303,32.2581,33.3333,42.1941,41.6667,40.0,41.6667,A,38.7727,0.8298,31.7861,1.3043,41.3819,0.9542,Bundesliga1
D1,25/09/2004,Hannover,Schalke 04,H,2.5,3.2,2.5,2.6,3.3,2.4,2.5,3.0,2.5,2.6,3.1,2.4,2004/5,€42.98m,€86.33m,40.0,38.4615,38.4615,40.0,31.25,30.303,32.2581,33.3333,40.0,41.6667,41.6667,40.0,A,39.2308,0.8883,31.7861,1.3043,40.8333,0.9623,Bundesliga1
D1,25/09/2004,M'gladbach,Hansa Rostock,D,1.83,3.25,3.75,1.8,3.4,4.0,1.8,3.1,3.8,1.83,3.2,3.75,2004/5,€50.93m,€25.90m,54.6448,55.5556,54.6448,55.5556,30.7692,29.4118,31.25,32.2581,26.6667,25.0,26.6667,26.3158,H,55.1002,0.5259,30.9223,1.1828,26.1623,0.7923,Bundesliga1
D1,25/09/2004,Nurnberg,Bielefeld,A,1.8,3.25,4.0,1.75,3.4,4.3,1.85,3.1,3.6,1.83,3.2,3.75,2004/5,€34.90m,€24.65m,55.5556,57.1429,54.6448,54.0541,30.7692,29.4118,31.25,32.2581,25.0,23.2558,26.6667,27.7778,H,55.3494,1.3458,30.9223,1.1828,25.6751,1.976,Bundesliga1
D1,25/09/2004,Stuttgart,Leverkusen,H,2.2,3.25,2.8,2.15,3.2,3.1,2.2,3.0,2.9,2.1,3.1,3.1,2004/5,€79.50m,€86.93m,45.4545,46.5116,47.619,45.4545,30.7692,31.25,32.2581,33.3333,35.7143,32.2581,32.2581,34.4828,H,46.2599,1.0341,31.9026,1.1378,33.6783,1.7153,Bundesliga1
D1,25/09/2004,Wolfsburg,Kaiserslautern,H,1.61,3.4,5.0,1.65,3.5,4.8,1.65,3.3,4.4,1.7,3.3,4.33,2004/5,€59.30m,€33.75m,62.1118,60.6061,58.8235,60.6061,29.4118,28.5714,30.303,30.303,20.0,20.8333,23.0947,22.7273,H,60.5369,1.3448,29.6473,0.8312,21.6638,1.4873,Bundesliga1
D1,26/09/2004,Hamburg,Hertha,H,2.1,3.25,3.0,2.2,3.2,3.0,2.1,3.0,3.1,2.15,3.1,3.0,2004/5,€65.60m,€71.78m,47.619,45.4545,46.5116,47.619,30.7692,31.25,32.2581,33.3333,33.3333,33.3333,33.3333,32.2581,H,46.801,1.0384,31.9026,1.1378,33.0645,0.5376,Bundesliga1
D1,26/09/2004,Mainz,Dortmund,D,2.62,3.2,2.37,2.8,3.25,2.3,2.9,3.0,2.2,2.75,3.1,2.3,2004/5,€16.73m,€78.33m,38.1679,35.7143,36.3636,34.4828,31.25,30.7692,32.2581,33.3333,42.1941,43.4783,43.4783,45.4545,A,36.1822,1.5365,31.9026,1.1378,43.6513,1.346,Bundesliga1
D1,28/09/2004,Hannover,Bielefeld,A,1.83,3.25,3.75,1.8,3.4,4.0,1.8,3.1,3.8,1.9,3.1,3.6,2004/5,€42.98m,€24.65m,54.6448,55.5556,52.6316,55.5556,30.7692,29.4118,32.2581,32.2581,26.6667,25.0,27.7778,26.3158,H,54.5969,1.3788,31.1743,1.3687,26.4401,1.1446,Bundesliga1
D1,02/10/2004,Dortmund,Nurnberg,D,1.57,3.4,5.5,1.5,3.9,5.6,1.5,3.7,5.0,1.53,3.5,5.5,2004/5,€78.33m,€34.90m,63.6943,66.6667,65.3595,66.6667,29.4118,25.641,28.5714,27.027,18.1818,17.8571,18.1818,20.0,H,65.5968,1.4101,27.6628,1.671,18.5552,0.9753,Bundesliga1
D1,02/10/2004,Freiburg,Mainz,A,1.9,3.25,3.5,2.0,3.25,3.4,1.9,3.1,3.5,1.9,3.1,3.6,2004/5,€22.43m,€16.73m,52.6316,50.0,52.6316,52.6316,30.7692,30.7692,32.2581,32.2581,28.5714,29.4118,27.7778,28.5714,H,51.9737,1.3158,31.5136,0.8596,28.5831,0.6672,Bundesliga1
D1,02/10/2004,Hansa Rostock,Hannover,A,2.0,3.25,3.25,1.95,3.3,3.5,1.9,3.1,3.5,1.9,3.1,3.6,2004/5,€25.90m,€42.98m,50.0,51.2821,52.6316,52.6316,30.7692,30.303,32.2581,32.2581,30.7692,28.5714,27.7778,28.5714,H,51.6363,1.2628,31.3971,1.0123,28.9224,1.2868,Bundesliga1
D1,02/10/2004,Kaiserslautern,Hertha,A,2.0,3.25,3.25,2.1,3.2,3.2,2.0,3.1,3.2,2.1,3.1,3.1,2004/5,€33.75m,€71.78m,50.0,47.619,47.619,50.0,30.7692,31.25,32.2581,32.2581,30.7692,31.25,32.2581,31.25,H,48.8095,1.3747,31.6338,0.7471,31.3818,0.6266,Bundesliga1
D1,02/10/2004,Leverkusen,Hamburg,H,1.61,3.4,5.0,1.5,3.9,5.6,1.65,3.3,4.4,1.57,3.3,5.5,2004/5,€86.93m,€65.60m,62.1118,66.6667,63.6943,60.6061,29.4118,25.641,30.303,30.303,20.0,17.8571,18.1818,22.7273,H,63.2697,2.592,28.9147,2.2225,19.6916,2.2327,Bundesliga1
D1,02/10/2004,Werder Bremen,Bayern Munich,A,2.37,3.2,2.62,2.4,3.3,2.6,2.5,3.0,2.5,2.4,3.1,2.6,2004/5,€98.48m,€175.30m,42.1941,41.6667,41.6667,40.0,31.25,30.303,32.2581,33.3333,38.1679,38.4615,38.4615,40.0,H,41.3819,0.9542,31.7861,1.3043,38.7727,0.8298,Bundesliga1
D1,02/10/2004,Wolfsburg,M'gladbach,H,1.61,3.4,5.0,1.65,3.5,4.8,1.65,3.3,4.4,1.57,3.5,5.0,2004/5,€59.30m,€50.93m,62.1118,60.6061,63.6943,60.6061,29.4118,28.5714,28.5714,30.303,20.0,20.8333,20.0,22.7273,H,61.7546,1.4751,29.2144,0.8268,20.8901,1.2862,Bundesliga1
D1,03/10/2004,Bielefeld,Stuttgart,A,3.25,3.25,2.0,3.7,3.3,1.9,3.5,3.1,1.9,3.0,3.1,2.15,2004/5,€24.65m,€79.50m,30.7692,27.027,33.3333,28.5714,30.7692,30.303,32.2581,32.2581,50.0,52.6316,46.5116,52.6316,A,29.9252,2.7423,31.3971,1.0123,50.4437,2.9001,Bundesliga1
D1,03/10/2004,Schalke 04,Bochum,H,1.9,3.25,3.5,1.75,3.4,4.2,1.8,3.1,3.8,1.8,3.1,4.0,2004/5,€86.33m,€31.40m,52.6316,57.1429,55.5556,55.5556,30.7692,29.4118,32.2581,32.2581,28.5714,23.8095,25.0,26.3158,H,55.2214,1.8817,31.1743,1.3687,25.9242,2.0402,Bundesliga1
D1,16/10/2004,Bayern Munich,Schalke 04,A,1.57,3.4,5.5,1.5,3.9,5.6,1.5,3.7,5.0,1.53,3.5,5.5,2004/5,€175.30m,€86.33m,63.6943,66.6667,65.3595,66.6667,29.4118,25.641,28.5714,27.027,18.1818,17.8571,18.1818,20.0,H,65.5968,1.4101,27.6628,1.671,18.5552,0.9753,Bundesliga1
D1,16/10/2004,Bochum,Hansa Rostock,A,1.8,3.25,4.0,1.8,3.4,4.0,1.8,3.1,3.8,1.83,3.2,3.75,2004/5,€31.40m,€25.90m,55.5556,55.5556,54.6448,55.5556,30.7692,29.4118,31.25,32.2581,25.0,25.0,26.6667,26.3158,H,55.3279,0.4554,30.9223,1.1828,25.7456,0.8728,Bundesliga1
D1,16/10/2004,Hamburg,Bielefeld,A,1.72,3.25,4.33,1.7,3.5,4.4,1.75,3.2,4.0,1.72,3.2,4.33,2004/5,€65.60m,€24.65m,58.1395,58.8235,58.1395,57.1429,30.7692,28.5714,31.25,31.25,23.0947,22.7273,23.0947,25.0,H,58.0614,0.692,30.4602,1.2794,23.4792,1.0286,Bundesliga1
D1,16/10/2004,Hertha,Leverkusen,H,2.37,3.2,2.62,2.3,3.2,2.8,2.4,2.9,2.7,2.37,3.0,2.7,2004/5,€71.78m,€86.93m,42.1941,43.4783,42.1941,41.6667,31.25,31.25,33.3333,34.4828,38.1679,35.7143,37.037,37.037,H,42.3833,0.7712,32.579,1.6048,36.9891,1.0032,Bundesliga1
D1,16/10/2004,Mainz,Werder Bremen,H,2.75,3.25,2.25,3.1,3.3,2.1,2.9,3.0,2.2,2.8,3.1,2.25,2004/5,€16.73m,€98.48m,36.3636,32.2581,35.7143,34.4828,30.7692,30.303,32.2581,33.3333,44.4444,47.619,44.4444,45.4545,A,34.7047,1.808,31.6659,1.3895,45.4906,1.4967,Bundesliga1
D1,16/10/2004,Nurnberg,Freiburg,H,1.9,3.25,3.5,1.9,3.25,3.7,1.9,3.1,3.5,1.95,3.1,3.5,2004/5,€34.90m,€22.43m,52.6316,52.6316,51.2821,52.6316,30.7692,30.7692,32.2581,32.2581,28.5714,27.027,28.5714,28.5714,H,52.2942,0.6747,31.5136,0.8596,28.1853,0.7722,Bundesliga1
D1,16/10/2004,Stuttgart,Dortmund,H,1.83,3.25,3.75,1.85,3.3,3.85,1.9,3.1,3.5,1.8,3.1,4.0,2004/5,€79.50m,€78.33m,54.6448,54.0541,55.5556,52.6316,30.7692,30.303,32.2581,32.2581,26.6667,25.974,25.0,28.5714,H,54.2215,1.2268,31.3971,1.0123,26.553,1.5093,Bundesliga1
D1,17/10/2004,Hannover,Wolfsburg,H,2.5,3.2,2.5,2.5,3.3,2.5,2.7,2.9,2.4,2.6,3.1,2.4,2004/5,€42.98m,€59.30m,40.0,40.0,38.4615,37.037,31.25,30.303,32.2581,34.4828,40.0,40.0,41.6667,41.6667,A,38.8746,1.4237,32.0735,1.7937,40.8333,0.9623,Bundesliga1
D1,17/10/2004,M'gladbach,Kaiserslautern,H,1.9,3.25,3.5,1.9,3.25,3.7,1.9,3.1,3.5,2.0,3.1,3.3,2004/5,€50.93m,€33.75m,52.6316,52.6316,50.0,52.6316,30.7692,30.7692,32.2581,32.2581,28.5714,27.027,30.303,28.5714,H,51.9737,1.3158,31.5136,0.8596,28.6182,1.3385,Bundesliga1
