Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,B365D_Prob,BWD_Prob,B365A_Prob,BWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
D1,18/09/2004,Schalke 04,M'gladbach,H,1.66,3.4,4.5,1.55,3.7,5.3,2004/5,€86.33m,€50.93m,60.241,64.5161,29.4118,27.027,22.2222,18.8679,H,62.3786,3.023,28.2194,1.6863,20.545,2.3718,Bundesliga1
D1,18/09/2004,Werder Bremen,Hannover,H,1.5,3.5,6.0,1.4,4.2,6.6,2004/5,€98.48m,€42.98m,66.6667,71.4286,28.5714,23.8095,16.6667,15.1515,H,69.0476,3.3672,26.1904,3.3672,15.9091,1.0714,Bundesliga1
D1,19/09/2004,Freiburg,Bochum,D,2.3,3.2,2.7,2.3,3.3,2.75,2004/5,€22.43m,€31.40m,43.4783,43.4783,31.25,30.303,37.037,36.3636,H,43.4783,0.0,30.7765,0.6696,36.7003,0.4762,Bundesliga1
D1,19/09/2004,Hertha,Stuttgart,D,2.6,3.2,2.4,2.45,3.15,2.65,2004/5,€71.78m,€79.50m,38.4615,40.8163,31.25,31.746,41.6667,37.7358,A,39.6389,1.6651,31.498,0.3507,39.7012,2.7796,Bundesliga1
D1,25/09/2004,Bayern Munich,Freiburg,H,1.28,4.5,8.5,1.25,5.0,9.8,2004/5,€175.30m,€22.43m,78.125,80.0,22.2222,20.0,11.7647,10.2041,H,79.0625,1.3258,21.1111,1.5713,10.9844,1.1035,Bundesliga1
D1,25/09/2004,Bochum,Werder Bremen,A,2.62,3.2,2.37,2.6,3.3,2.4,2004/5,€31.40m,€98.48m,38.1679,38.4615,31.25,30.303,42.1941,41.6667,A,38.3147,0.2076,30.7765,0.6696,41.9304,0.3729,Bundesliga1
D1,25/09/2004,Hannover,Schalke 04,H,2.5,3.2,2.5,2.6,3.3,2.4,2004/5,€42.98m,€86.33m,40.0,38.4615,31.25,30.303,40.0,41.6667,A,39.2308,1.0879,30.7765,0.6696,40.8333,1.1785,Bundesliga1
D1,25/09/2004,M'gladbach,Hansa Rostock,D,1.83,3.25,3.75,1.8,3.4,4.0,2004/5,€50.93m,€25.90m,54.6448,55.5556,30.7692,29.4118,26.6667,25.0,H,55.1002,0.644,30.0905,0.9598,25.8334,1.1785,Bundesliga1
D1,25/09/2004,Nurnberg,Bielefeld,A,1.8,3.25,4.0,1.75,3.4,4.3,2004/5,€34.90m,€24.65m,55.5556,57.1429,30.7692,29.4118,25.0,23.2558,H,56.3492,1.1224,30.0905,0.9598,24.1279,1.2333,Bundesliga1
D1,25/09/2004,Stuttgart,Leverkusen,H,2.2,3.25,2.8,2.15,3.2,3.1,2004/5,€79.50m,€86.93m,45.4545,46.5116,30.7692,31.25,35.7143,32.2581,H,45.9831,0.7475,31.0096,0.34,33.9862,2.4439,Bundesliga1
D1,25/09/2004,Wolfsburg,Kaiserslautern,H,1.61,3.4,5.0,1.65,3.5,4.8,2004/5,€59.30m,€33.75m,62.1118,60.6061,29.4118,28.5714,20.0,20.8333,H,61.359,1.0647,28.9916,0.5943,20.4166,0.5892,Bundesliga1
D1,26/09/2004,Hamburg,Hertha,H,2.1,3.25,3.0,2.2,3.2,3.0,2004/5,€65.60m,€71.78m,47.619,45.4545,30.7692,31.25,33.3333,33.3333,H,46.5368,1.5305,31.0096,0.34,33.3333,0.0,Bundesliga1
D1,26/09/2004,Mainz,Dortmund,D,2.62,3.2,2.37,2.8,3.25,2.3,2004/5,€16.73m,€78.33m,38.1679,35.7143,31.25,30.7692,42.1941,43.4783,A,36.9411,1.735,31.0096,0.34,42.8362,0.9081,Bundesliga1
D1,28/09/2004,Hannover,Bielefeld,A,1.83,3.25,3.75,1.8,3.4,4.0,2004/5,€42.98m,€24.65m,54.6448,55.5556,30.7692,29.4118,26.6667,25.0,H,55.1002,0.644,30.0905,0.9598,25.8334,1.1785,Bundesliga1
D1,02/10/2004,Dortmund,Nurnberg,D,1.57,3.4,5.5,1.5,3.9,5.6,2004/5,€78.33m,€34.90m,63.6943,66.6667,29.4118,25.641,18.1818,17.8571,H,65.1805,2.1018,27.5264,2.6664,18.0194,0.2296,Bundesliga1
D1,02/10/2004,Freiburg,Mainz,A,1.9,3.25,3.5,2.0,3.25,3.4,2004/5,€22.43m,€16.73m,52.6316,50.0,30.7692,30.7692,28.5714,29.4118,H,51.3158,1.8608,30.7692,0.0,28.9916,0.5943,Bundesliga1
D1,02/10/2004,Hansa Rostock,Hannover,A,2.0,3.25,3.25,1.95,3.3,3.5,2004/5,€25.90m,€42.98m,50.0,51.2821,30.7692,30.303,30.7692,28.5714,H,50.641,0.9066,30.5361,0.3297,29.6703,1.5541,Bundesliga1
D1,02/10/2004,Kaiserslautern,Hertha,A,2.0,3.25,3.25,2.1,3.2,3.2,2004/5,€33.75m,€71.78m,50.0,47.619,30.7692,31.25,30.7692,31.25,H,48.8095,1.6836,31.0096,0.34,31.0096,0.34,Bundesliga1
D1,02/10/2004,Leverkusen,Hamburg,H,1.61,3.4,5.0,1.5,3.9,5.6,2004/5,€86.93m,€65.60m,62.1118,66.6667,29.4118,25.641,20.0,17.8571,H,64.3892,3.2208,27.5264,2.6664,18.9286,1.5153,Bundesliga1
D1,02/10/2004,Werder Bremen,Bayern Munich,A,2.37,3.2,2.62,2.4,3.3,2.6,2004/5,€98.48m,€175.30m,42.1941,41.6667,31.25,30.303,38.1679,38.4615,H,41.9304,0.3729,30.7765,0.6696,38.3147,0.2076,Bundesliga1
D1,02/10/2004,Wolfsburg,M'gladbach,H,1.61,3.4,5.0,1.65,3.5,4.8,2004/5,€59.30m,€50.93m,62.1118,60.6061,29.4118,28.5714,20.0,20.8333,H,61.359,1.0647,28.9916,0.5943,20.4166,0.5892,Bundesliga1
D1,03/10/2004,Bielefeld,Stuttgart,A,3.25,3.25,2.0,3.7,3.3,1.9,2004/5,€24.65m,€79.50m,30.7692,27.027,30.7692,30.303,50.0,52.6316,A,28.8981,2.6461,30.5361,0.3297,51.3158,1.8608,Bundesliga1
D1,03/10/2004,Schalke 04,Bochum,H,1.9,3.25,3.5,1.75,3.4,4.2,2004/5,€86.33m,€31.40m,52.6316,57.1429,30.7692,29.4118,28.5714,23.8095,H,54.8872,3.19,30.0905,0.9598,26.1904,3.3672,Bundesliga1
D1,16/10/2004,Bayern Munich,Schalke 04,A,1.57,3.4,5.5,1.5,3.9,5.6,2004/5,€175.30m,€86.33m,63.6943,66.6667,29.4118,25.641,18.1818,17.8571,H,65.1805,2.1018,27.5264,2.6664,18.0194,0.2296,Bundesliga1
D1,16/10/2004,Bochum,Hansa Rostock,A,1.8,3.25,4.0,1.8,3.4,4.0,2004/5,€31.40m,€25.90m,55.5556,55.5556,30.7692,29.4118,25.0,25.0,H,55.5556,0.0,30.0905,0.9598,25.0,0.0,Bundesliga1
D1,16/10/2004,Hamburg,Bielefeld,A,1.72,3.25,4.33,1.7,3.5,4.4,2004/5,€65.60m,€24.65m,58.1395,58.8235,30.7692,28.5714,23.0947,22.7273,H,58.4815,0.4837,29.6703,1.5541,22.911,0.2598,Bundesliga1
D1,16/10/2004,Hertha,Leverkusen,H,2.37,3.2,2.62,2.3,3.2,2.8,2004/5,€71.78m,€86.93m,42.1941,43.4783,31.25,31.25,38.1679,35.7143,H,42.8362,0.9081,31.25,0.0,36.9411,1.735,Bundesliga1
D1,16/10/2004,Mainz,Werder Bremen,H,2.75,3.25,2.25,3.1,3.3,2.1,2004/5,€16.73m,€98.48m,36.3636,32.2581,30.7692,30.303,44.4444,47.619,A,34.3108,2.903,30.5361,0.3297,46.0317,2.2448,Bundesliga1
D1,16/10/2004,Nurnberg,Freiburg,H,1.9,3.25,3.5,1.9,3.25,3.7,2004/5,€34.90m,€22.43m,52.6316,52.6316,30.7692,30.7692,28.5714,27.027,H,52.6316,0.0,30.7692,0.0,27.7992,1.0921,Bundesliga1
D1,16/10/2004,Stuttgart,Dortmund,H,1.83,3.25,3.75,1.85,3.3,3.85,2004/5,€79.50m,€78.33m,54.6448,54.0541,30.7692,30.303,26.6667,25.974,H,54.3494,0.4177,30.5361,0.3297,26.3204,0.4898,Bundesliga1
D1,17/10/2004,Hannover,Wolfsburg,H,2.5,3.2,2.5,2.5,3.3,2.5,2004/5,€42.98m,€59.30m,40.0,40.0,31.25,30.303,40.0,40.0,No Consensus,40.0,0.0,30.7765,0.6696,40.0,0.0,Bundesliga1
D1,17/10/2004,M'gladbach,Kaiserslautern,H,1.9,3.25,3.5,1.9,3.25,3.7,2004/5,€50.93m,€33.75m,52.6316,52.6316,30.7692,30.7692,28.5714,27.027,H,52.6316,0.0,30.7692,0.0,27.7992,1.0921,Bundesliga1
D1,23/10/2004,Bielefeld,Hertha,H,2.37,3.2,2.62,2.55,3.15,2.55,2004/5,€24.65m,€71.78m,42.1941,39.2157,31.25,31.746,38.1679,39.2157,H,40.7049,2.106,31.498,0.3507,38.6918,0.7409,Bundesliga1
D1,23/10/2004,Dortmund,Hamburg,A,1.61,3.6,4.5,1.65,3.5,4.8,2004/5,€78.33m,€65.60m,62.1118,60.6061,27.7778,28.5714,22.2222,20.8333,H,61.359,1.0647,28.1746,0.5612,21.5278,0.9821,Bundesliga1
D1,23/10/2004,Hansa Rostock,Bayern Munich,A,4.33,3.25,1.72,4.4,3.5,1.7,2004/5,€25.90m,€175.30m,23.0947,22.7273,30.7692,28.5714,58.1395,58.8235,A,22.911,0.2598,29.6703,1.5541,58.4815,0.4837,Bundesliga1
D1,23/10/2004,Kaiserslautern,Leverkusen,D,2.7,3.2,2.3,2.6,3.3,2.4,2004/5,€33.75m,€86.93m,37.037,38.4615,31.25,30.303,43.4783,41.6667,A,37.7493,1.0073,30.7765,0.6696,42.5725,1.281,Bundesliga1
D1,23/10/2004,M'gladbach,Hannover,A,1.9,3.25,3.5,1.95,3.2,3.6,2004/5,€50.93m,€42.98m,52.6316,51.2821,30.7692,31.25,28.5714,27.7778,H,51.9568,0.9542,31.0096,0.34,28.1746,0.5612,Bundesliga1
D1,23/10/2004,Werder Bremen,Nurnberg,H,1.53,3.75,5.0,1.55,3.7,5.3,2004/5,€98.48m,€34.90m,65.3595,64.5161,26.6667,27.027,20.0,18.8679,H,64.9378,0.5964,26.8468,0.2548,19.434,0.8005,Bundesliga1
D1,23/10/2004,Wolfsburg,Bochum,H,1.66,3.4,4.5,1.7,3.5,4.4,2004/5,€59.30m,€31.40m,60.241,58.8235,29.4118,28.5714,22.2222,22.7273,H,59.5322,1.0023,28.9916,0.5943,22.4748,0.3572,Bundesliga1
D1,24/10/2004,Freiburg,Stuttgart,H,4.0,3.25,1.8,3.75,3.25,1.9,2004/5,€22.43m,€79.50m,25.0,26.6667,30.7692,30.7692,55.5556,52.6316,A,25.8334,1.1785,30.7692,0.0,54.0936,2.0676,Bundesliga1
D1,24/10/2004,Schalke 04,Mainz,H,1.66,3.4,4.5,1.65,3.5,4.8,2004/5,€86.33m,€16.73m,60.241,60.6061,29.4118,28.5714,22.2222,20.8333,H,60.4236,0.2582,28.9916,0.5943,21.5278,0.9821,Bundesliga1
D1,26/10/2004,Bayern Munich,Wolfsburg,H,1.57,3.4,5.5,1.5,3.8,5.8,2004/5,€175.30m,€59.30m,63.6943,66.6667,29.4118,26.3158,18.1818,17.2414,H,65.1805,2.1018,27.8638,2.1892,17.7116,0.665,Bundesliga1
D1,26/10/2004,Bochum,M'gladbach,H,2.0,3.25,3.25,1.95,3.3,3.5,2004/5,€31.40m,€50.93m,50.0,51.2821,30.7692,30.303,30.7692,28.5714,H,50.641,0.9066,30.5361,0.3297,29.6703,1.5541,Bundesliga1
D1,26/10/2004,Hannover,Kaiserslautern,H,1.8,3.25,4.0,1.8,3.4,4.0,2004/5,€42.98m,€33.75m,55.5556,55.5556,30.7692,29.4118,25.0,25.0,H,55.5556,0.0,30.0905,0.9598,25.0,0.0,Bundesliga1
D1,26/10/2004,Hertha,Dortmund,A,2.1,3.25,3.0,2.0,3.3,3.4,2004/5,€71.78m,€78.33m,47.619,50.0,30.7692,30.303,33.3333,29.4118,H,48.8095,1.6836,30.5361,0.3297,31.3726,2.7729,Bundesliga1
D1,27/10/2004,Hamburg,Freiburg,H,1.66,3.4,4.5,1.6,3.7,4.8,2004/5,€65.60m,€22.43m,60.241,62.5,29.4118,27.027,22.2222,20.8333,H,61.3705,1.5974,28.2194,1.6863,21.5278,0.9821,Bundesliga1
D1,27/10/2004,Leverkusen,Bielefeld,H,1.57,3.4,5.5,1.5,3.8,5.8,2004/5,€86.93m,€24.65m,63.6943,66.6667,29.4118,26.3158,18.1818,17.2414,H,65.1805,2.1018,27.8638,2.1892,17.7116,0.665,Bundesliga1
D1,27/10/2004,Mainz,Hansa Rostock,H,1.8,3.25,4.0,1.8,3.4,4.0,2004/5,€16.73m,€25.90m,55.5556,55.5556,30.7692,29.4118,25.0,25.0,H,55.5556,0.0,30.0905,0.9598,25.0,0.0,Bundesliga1
D1,27/10/2004,Nurnberg,Schalke 04,A,2.6,3.2,2.4,2.5,3.3,2.5,2004/5,€34.90m,€86.33m,38.4615,40.0,31.25,30.303,41.6667,40.0,A,39.2308,1.0879,30.7765,0.6696,40.8333,1.1785,Bundesliga1
D1,27/10/2004,Stuttgart,Werder Bremen,A,1.83,3.25,3.75,1.85,3.3,3.85,2004/5,€79.50m,€98.48m,54.6448,54.0541,30.7692,30.303,26.6667,25.974,H,54.3494,0.4177,30.5361,0.3297,26.3204,0.4898,Bundesliga1
D1,30/10/2004,Dortmund,Leverkusen,H,2.25,3.25,2.75,2.2,3.3,2.9,2004/5,€78.33m,€86.93m,44.4444,45.4545,30.7692,30.303,36.3636,34.4828,H,44.9494,0.7142,30.5361,0.3297,35.4232,1.3299,Bundesliga1
D1,30/10/2004,Freiburg,Hertha,A,2.37,3.2,2.62,2.5,3.3,2.5,2004/5,€22.43m,€71.78m,42.1941,40.0,31.25,30.303,38.1679,40.0,H,41.097,1.5515,30.7765,0.6696,39.084,1.2955,Bundesliga1
D1,30/10/2004,Hannover,Bochum,H,1.8,3.25,4.0,1.85,3.3,3.85,2004/5,€42.98m,€31.40m,55.5556,54.0541,30.7692,30.303,25.0,25.974,H,54.8048,1.0617,30.5361,0.3297,25.487,0.6887,Bundesliga1
D1,30/10/2004,M'gladbach,Bayern Munich,H,4.5,3.4,1.66,4.3,3.4,1.75,2004/5,€50.93m,€175.30m,22.2222,23.2558,29.4118,29.4118,60.241,57.1429,A,22.739,0.7309,29.4118,0.0,58.692,2.1907,Bundesliga1
D1,30/10/2004,Schalke 04,Stuttgart,H,2.1,3.25,3.0,2.2,3.3,2.9,2004/5,€86.33m,€79.50m,47.619,45.4545,30.7692,30.303,33.3333,34.4828,H,46.5368,1.5305,30.5361,0.3297,33.908,0.8128,Bundesliga1
D1,30/10/2004,Werder Bremen,Hamburg,D,1.61,3.4,5.0,1.65,3.5,4.8,2004/5,€98.48m,€65.60m,62.1118,60.6061,29.4118,28.5714,20.0,20.8333,H,61.359,1.0647,28.9916,0.5943,20.4166,0.5892,Bundesliga1
D1,30/10/2004,Wolfsburg,Mainz,H,1.66,3.4,4.5,1.6,3.6,5.0,2004/5,€59.30m,€16.73m,60.241,62.5,29.4118,27.7778,22.2222,20.0,H,61.3705,1.5974,28.5948,1.1554,21.1111,1.5713,Bundesliga1
D1,31/10/2004,Hansa Rostock,Nurnberg,A,2.0,3.25,3.25,2.05,3.3,3.2,2004/5,€25.90m,€34.90m,50.0,48.7805,30.7692,30.303,30.7692,31.25,H,49.3902,0.8623,30.5361,0.3297,31.0096,0.34,Bundesliga1
D1,31/10/2004,Kaiserslautern,Bielefeld,H,2.1,3.25,3.0,2.0,3.3,3.35,2004/5,€33.75m,€24.65m,47.619,50.0,30.7692,30.303,33.3333,29.8507,H,48.8095,1.6836,30.5361,0.3297,31.592,2.4626,Bundesliga1
D1,06/11/2004,Bayern Munich,Hannover,H,1.4,3.75,7.5,1.35,4.5,7.2,2004/5,€175.30m,€42.98m,71.4286,74.0741,26.6667,22.2222,13.3333,13.8889,H,72.7514,1.8707,24.4444,3.1427,13.6111,0.3929,Bundesliga1
D1,06/11/2004,Bielefeld,Dortmund,H,2.6,3.2,2.4,2.6,3.3,2.4,2004/5,€24.65m,€78.33m,38.4615,38.4615,31.25,30.303,41.6667,41.6667,A,38.4615,0.0,30.7765,0.6696,41.6667,0.0,Bundesliga1
